"020021111","(OCoLC)00002740","{'440': {'ind2': '0', 'subfields': [{'a': 'Burt Franklin research & source works series,'}, {'v': '312'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020031760","(OCoLC)00016762","{'440': {'ind2': '4', 'subfields': [{'a': 'The Commonwealth and international library'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020064723","(OCoLC)00426385","{'440': {'ind2': '0', 'subfields': [{'a': 'Clio medica, a series of primers on the history of medicine,'}, {'v': '7'}, {'5': 'FOFT'}, {'5': 'FMFIU'}], 'ind1': ' '}}"
"020303976","(OCoLC)04363443","{'440': {'ind2': '0', 'subfields': [{'a': '[Research publications of the University of Minnesota]'}, {'5': 'FU'}], 'ind1': ' '}}"
"020170413","(OCoLC)00623019","{'440': {'ind2': '0', 'subfields': [{'a': ""Griffin's statistical monographs & courses,""}, {'v': 'no. 30'}, {'5': 'FOFT'}, {'5': 'FMFIU'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020114541","(OCoLC)00033199","{'440': {'ind2': '0', 'subfields': [{'a': 'Publication - Augustan Reprint Society'}, {'v': 'no. 133'}, {'5': 'FTS'}, {'5': 'FU'}], 'ind1': ' '}}"
"020082125","(OCoLC)269435329","{'440': {'ind2': '0', 'subfields': [{'a': 'Springer tracts in advanced robotics ;'}, {'v': '51'}, {'5': 'FTaFA'}], 'ind1': ' '}}"
"020114580","(OCoLC)00033218","{'440': {'ind2': '0', 'subfields': [{'a': 'University of North Carolina studies in the Romance languages and literatures,'}, {'v': 'no. 79'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020262147","(OCoLC)00237645","{'440': {'ind2': '0', 'subfields': [{'a': 'Hawkes pocket scores ;'}, {'v': '695'}, {'5': 'FOFT'}], 'ind1': ' '}}"
"020007257","(OCoLC)09355751","{'440': {'ind2': '0', 'subfields': [{'a': 'Proceedings of the Academy of Political Science ;'}, {'v': 'v. 35, no. 1'}, {'5': 'FOFT'}], 'ind1': ' '}}"
"020189464","(OCoLC)00707325","{'440': {'ind2': '0', 'subfields': [{'a': 'MTP international review of science.'}, {'5': 'FU'}, {'5': 'FTaSU'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020293284","(OCoLC)00082428","{'440': {'ind2': '0', 'subfields': [{'a': 'Burt Franklin research & source works series,'}, {'v': '453'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020060398","(OCoLC)00011008","{'440': {'ind2': '0', 'subfields': [{'a': 'Burt Franklin bibliography & reference series,'}, {'v': '118'}, {'5': 'FTS'}, {'5': 'FU'}], 'ind1': ' '}}"
"020199759","(OCoLC)00066055","{'440': {'ind2': '0', 'subfields': [{'a': 'Monograph (American Ethnological Society),'}, {'v': '49'}, {'5': 'FSsNC'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020092237","(OCoLC)00015839","{'440': {'ind2': '0', 'subfields': [{'a': 'Reviews of current research,'}, {'v': '1'}, {'5': 'FTaSU'}], 'ind1': ' '}}"
"020092237","(OCoLC)00015839","{'440': {'ind2': '0', 'subfields': [{'a': 'Reviews of current research,'}, {'v': 'v. 1'}, {'5': 'FPeU'}], 'ind1': ' '}}"
"020240465","(OCoLC)33145374","{'440': {'ind2': '0', 'subfields': [{'a': 'Fieldiana.'}, {'p': 'Anthropology,'}, {'x': '0071-4739 ;'}, {'v': 'new ser., no. 24'}, {'5': 'FU'}], 'ind1': ' '}}"
"020245351","(OCoLC)00066091","{'440': {'ind2': '0', 'subfields': [{'a': 'Da Capo press series in architecture and decorative art,'}, {'v': 'v. 32'}, {'5': 'FTS'}, {'5': 'FFmFGC'}], 'ind1': ' '}}"
"020245351","(OCoLC)00066091","{'440': {'ind2': '2', 'subfields': [{'a': 'A Da Capo Press reprint series'}, {'5': 'FTS'}], 'ind1': ' '}}"
"020007353","(OCoLC)11190844","{'440': {'ind2': '0', 'subfields': [{'a': 'Proceedings of the Academy of Political Science ;'}, {'v': 'v. 35, no. 3'}, {'5': 'FOFT'}], 'ind1': ' '}}"
