"020260453","(OCoLC)310379817","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Thieme ElectronicBook Library'}, {'5': 'FU'}, {'5': 'FBoU'}, {'5': 'FMFIU'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Thieme flexibook'}, {'5': 'FBoU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Thieme flexibook.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Thieme ElectronicBook Library'}], 'ind1': '0'}}]"
"020117916","(OCoLC)00034304","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Van Nostrand mathematical studies, #18-19'}, {'5': 'FSsNC'}, {'5': 'FU'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Van Nostrand mathematical studies, #18'}, {'5': 'FOFT'}, {'5': 'FBoU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Van Nostrand mathematical studies ;'}, {'v': 'no. 18.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Van Nostrand mathematical studies, #18-19'}], 'ind1': '0'}}]"
"020006898","(OCoLC)00001565","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Essay and general literature index reprint series.'}, {'5': 'FPeU'}, {'5': 'FBoU'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Morris Arboretum monographs, 2'}, {'5': 'FOFT'}, {'5': 'FBoU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Morris Arboretum monographs ;'}, {'v': '2.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Morris Arboretum monographs,'}, {'v': '2'}], 'ind1': '1'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Essay and general literature index reprint series'}], 'ind1': '0'}}]"
"020241793","(OCoLC)00083489","[{'490': {'ind2': ' ', 'subfields': [{'a': 'American lecture series, publication no. 759. A monograph in the Bannerstone division of lectures in living chemistry'}, {'5': 'FJUNF'}, {'5': 'FBoU'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'American lecture series, publication no. 759'}, {'5': 'FTaSU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'American lecture series ;'}, {'v': 'no. 759.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'American lecture series, publication no. 759. A monograph in the Bannerstone division of lectures in living chemistry'}], 'ind1': '0'}}]"
"020030200","(OCoLC)00099956","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Mathematics and its applications,'}, {'v': 'v. 10'}, {'5': 'FTS'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Mathematics and its applications, v. 10'}, {'5': 'FOFT'}, {'5': 'FMFIU'}, {'5': 'FJUNF'}, {'5': 'FBoU'}, {'5': 'FTaSU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Mathematics and its applications (Gordon and Breach Science Publishers) ;'}, {'v': 'v. 10.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Mathematics and its applications,'}, {'v': 'v. 10'}], 'ind1': '0'}}]"
"020308573","(OCoLC)01067029","[{'490': {'ind2': ' ', 'subfields': [{'a': 'UC-IMR Reference no. 74-3'}, {'5': 'FU'}], 'ind1': '1'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Sea Grant publication ;'}, {'v': 'no. 2'}, {'5': 'FU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'IMR reference ;'}, {'v': 'no. 74-3.'}], 'ind1': ' '}}, {'830': {'ind2': '0', 'subfields': [{'a': 'Sea grant publication (La Jolla (San Diego, Calif.)) ;'}, {'v': 'no. 2.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'UC-IMR Reference'}, {'v': 'no. 74-3'}], 'ind1': '0'}}]"
"020228193","(OCoLC)00051239","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat series in Irish history and culture'}, {'5': 'FTS'}], 'ind1': '1'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat Press scholarly reprints'}, {'5': 'FTS'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Kennikat Press scholarly reprints.'}, {'p': 'Series in Irish history and culture.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat series in Irish history and culture'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat Press scholarly reprints.'}], 'ind1': '0'}}]"
"020020238","(OCoLC)00002742","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Burt Franklin research & source works series, 312.'}, {'5': 'FTaSU'}, {'5': 'FPeU'}, {'5': 'FTaFA'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'American classics in history & social science, 60'}, {'5': 'FTaSU'}, {'5': 'FPeU'}, {'5': 'FTS'}, {'5': 'FTaFA'}, {'5': 'FU'}], 'ind1': '1'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Burt Franklin research & source works series,'}, {'v': '312'}, {'5': 'FTS'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'American classics in history and social science ;'}, {'v': '#60.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'American classics in history & social science, 60'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Burt Franklin research & source works series, 312'}], 'ind1': '0'}}]"
"020247876","(OCoLC)00056267","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat series in Irish history and culture'}, {'5': 'FTS'}, {'5': 'FTaSU'}, {'5': 'FU'}], 'ind1': '1'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat Press scholarly reprints.'}, {'5': 'FTS'}, {'5': 'FTaSU'}, {'5': 'FU'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Kennikat Press scholarly reprints.'}, {'p': 'Series in Irish history and culture.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat series in Irish history and culture'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Kennikat Press scholarly reprints.'}], 'ind1': '0'}}]"
"020106703","(OCoLC)213731693","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Burt Franklin research and source works series, 165'}, {'5': 'FOFT'}], 'ind1': '1'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Essays in history, economics, & social science, 14'}, {'5': 'FOFT'}], 'ind1': '1'}}]","[{'830': {'ind2': '0', 'subfields': [{'a': 'Burt Franklin research & source works series ;'}, {'v': 'no. 165.'}], 'ind1': ' '}}, {'830': {'ind2': '0', 'subfields': [{'a': 'Burt Franklin research & source works series.'}, {'p': 'Selected essays in history, economics & social science ;'}, {'v': '14.'}], 'ind1': ' '}}]","[{'490': {'ind2': ' ', 'subfields': [{'a': 'Burt Franklin research and source works series,'}, {'v': '165'}], 'ind1': '0'}}, {'490': {'ind2': ' ', 'subfields': [{'a': 'Essays in history, economics, & social science,'}, {'v': '14'}], 'ind1': '0'}}]"
